ResourceGroupName,ResourceGroupId,Subscription,SubscriptionId,ResourceName,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
rg-infra,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,hjemmeforlob-certificate,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra/providers/microsoft.certificateregistration/certificateorders/hjemmeforlob-certificate,App Service certificate,us central,"[""\""project\"":\""citizen-education\""""]",2206.755,299.99,DKK
rg-infra,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,mithjemmeforlob-wildcard,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra/providers/microsoft.certificateregistration/certificateorders/mithjemmeforlob-wildcard,App Service certificate,us central,"[""\""project\"":\""citizen-education\""""]",2206.755,299.99,DKK
rg-infra,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,fd-frontend,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra/providers/microsoft.cdn/profiles/fd-frontend,Front Door Standard/Premium (Preview),"unknown, zone 8, zone 7",[],273.24,37.15,DKK
rg-infra,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikon,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra/providers/microsoft.containerregistry/registries/visikon,Container registry,eu north,[],151.97,20.66,DKK
rg-infra,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,lx-frontend,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra/providers/microsoft.operationalinsights/workspaces/lx-frontend,Log Analytics workspace,eu north,[],61.19424846,8.319857835,DKK
rg-infra,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,kv-domain-certificates,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/rg-infra/providers/microsoft.keyvault/vaults/kv-domain-certificates,Key vault,eu west,[],0,0,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/virtualmachines/core-services,Virtual machine,"eu west, intercontinental","[""\""prod\"":\""\"""",""\""vm\"":\""\""""]",1313.976964,178.6254507,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.saas/resources/mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,SaaS,unknown,[],506.48,68.84,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.documentdb/databaseaccounts/visikoncore,Cosmos DB account,"eu north, eu west","[""\""defaultexperience\"":\""mongodb\"""",""\""database\"":\""\"""",""\""prod\"":\""\""""]",923.0478066,125.4817367,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services_datadisk_0,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/disks/core-services_datadisk_0,Disk,eu west,"[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",307.48,41.8,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,aci-encoderdemoimageprod,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerinstance/containergroups/aci-encoderdemoimageprod,Container instances,eu north,[],178.6540431,24.28730385,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,custom-demo,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerinstance/containergroups/custom-demo,Container instances,eu north,[],173.9859569,23.65269615,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services-vault,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.recoveryservices/vaults/core-services-vault,Recovery Services vault,eu west,"[""\""backup\"":\""\"""",""\""prod\"":\""\""""]",115.63,15.72,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,asp-visikoncore-87fd,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.web/serverfarms/asp-visikoncore-87fd,App Service plan,eu north,"[""\""serviceplan\"":\""\"""",""\""prod\"":\""\""""]",98.49,13.39,DKK
