ResourceGroupName,ResourceGroupId,Subscription,SubscriptionId,ResourceName,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/virtualmachines/core-services,Virtual machine,"eu west, intercontinental","[""\""prod\"":\""\"""",""\""vm\"":\""\""""]",1179.494641,180.0181831,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.documentdb/databaseaccounts/visikoncore,Cosmos DB account,"eu north, eu west","[""\""defaultexperience\"":\""mongodb\"""",""\""database\"":\""\"""",""\""prod\"":\""\""""]",1879.988238,286.9304157,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,asp-visikoncore-826b,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.web/serverfarms/asp-visikoncore-826b,App Service plan,eu west,"[""\""serviceplan\"":\""\"""",""\""prod\"":\""\""""]",560.595,85.56,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.saas/resources/mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,SaaS,unknown,[],555.08,84.71,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services_datadisk_0,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/disks/core-services_datadisk_0,Disk,eu west,"[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",273.87,41.8,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,asp-visikoncore-87fd,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.web/serverfarms/asp-visikoncore-87fd,App Service plan,eu north,"[""\""serviceplan\"":\""\"""",""\""prod\"":\""\""""]",87.73,13.39,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services-vault,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.recoveryservices/vaults/core-services-vault,Recovery Services vault,eu west,"[""\""backup\"":\""\"""",""\""prod\"":\""\""""]",85.76,13.09,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncorestorage,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.storage/storageaccounts/visikoncorestorage,Storage account,"eu west, intercontinental","[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",75.46517882,11.52034707,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services_osdisk_1_1e9970aca9a644cdb6825b532275a246,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/disks/core-services_osdisk_1_1e9970aca9a644cdb6825b532275a246,Disk,eu west,"[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",39.9,6.09,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncorediag859,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.storage/storageaccounts/visikoncorediag859,Storage account,"eu west, intercontinental","[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",27.76898989,4.239845781,DKK
