ResourceGroupName,ResourceGroupId,Subscription,SubscriptionId,ResourceName,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/virtualmachines/core-services,Virtual machine,"eu west, intercontinental","[""\""vm\"":\""\"""",""\""prod\"":\""\""""]",1200.598879,172.8662447,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.documentdb/databaseaccounts/visikoncore,Cosmos DB account,"eu north, eu west","[""\""defaultexperience\"":\""mongodb\"""",""\""database\"":\""\"""",""\""prod\"":\""\""""]",1928.723585,277.7050652,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,asp-visikoncore-826b,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.web/serverfarms/asp-visikoncore-826b,App Service plan,eu west,"[""\""serviceplan\"":\""\"""",""\""prod\"":\""\""""]",575.07,82.8,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncore-qa,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.documentdb/databaseaccounts/visikoncore-qa,Cosmos DB account,eu north,"[""\""defaultexperience\"":\""azure cosmos db for mongodb api\"""",""\""env\"":\""qa\"""",""\""hidden-cosmos-mmspecial\"":\""\""""]",537.6196861,77.40827716,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.saas/resources/mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,SaaS,unknown,[],537.17,77.34,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services_datadisk_0,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/disks/core-services_datadisk_0,Disk,eu west,"[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",290.38,41.81,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,custom-demo,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerinstance/containergroups/custom-demo,Container instances,eu north,[],235.78,33.95,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services-vault,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.recoveryservices/vaults/core-services-vault,Recovery Services vault,eu west,"[""\""backup\"":\""\"""",""\""prod\"":\""\""""]",95.7,13.78,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,asp-visikoncore-87fd,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.web/serverfarms/asp-visikoncore-87fd,App Service plan,eu north,"[""\""serviceplan\"":\""\"""",""\""prod\"":\""\""""]",90.01,12.96,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncorestorage,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.storage/storageaccounts/visikoncorestorage,Storage account,"eu west, intercontinental","[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",47.27710086,6.811202943,DKK
