ResourceGroupName,ResourceGroupId,Subscription,SubscriptionId,ResourceName,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/virtualmachines/core-services,Virtual machine,"eu west, intercontinental","[""\""prod\"":\""\"""",""\""vm\"":\""\""""]",1194.486806,178.3862787,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.documentdb/databaseaccounts/visikoncore,Cosmos DB account,"eu north, eu west","[""\""defaultexperience\"":\""mongodb\"""",""\""database\"":\""\"""",""\""prod\"":\""\""""]",1921.24,286.92,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,asp-visikoncore-826b,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.web/serverfarms/asp-visikoncore-826b,App Service plan,eu west,"[""\""serviceplan\"":\""\"""",""\""prod\"":\""\""""]",572.915,85.56,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.saas/resources/mpdatadog_datadog_74372a06-7587-414b-95d8-80a4b8e6,SaaS,unknown,[],555.08,82.89,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services_datadisk_0,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/disks/core-services_datadisk_0,Disk,eu west,"[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",279.89,41.8,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,custom-demo,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerinstance/containergroups/custom-demo,Container instances,eu north,[],234.96,35.09,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,asp-visikoncore-87fd,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.web/serverfarms/asp-visikoncore-87fd,App Service plan,eu north,"[""\""serviceplan\"":\""\"""",""\""prod\"":\""\""""]",89.66,13.39,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services-vault,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.recoveryservices/vaults/core-services-vault,Recovery Services vault,eu west,"[""\""backup\"":\""\"""",""\""prod\"":\""\""""]",89.18,13.32,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,visikoncorestorage,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.storage/storageaccounts/visikoncorestorage,Storage account,"eu west, intercontinental","[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",73.14893123,10.92696153,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services_osdisk_1_1e9970aca9a644cdb6825b532275a246,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.compute/disks/core-services_osdisk_1_1e9970aca9a644cdb6825b532275a246,Disk,eu west,"[""\""storage\"":\""\"""",""\""prod\"":\""\""""]",41.1,6.14,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,enocderegistry,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerregistry/registries/enocderegistry,Container registry,eu north,[],34.55,5.16,DKK
